f,d,n,x,y,p
0.25,0.1,3.0,0.0,0.1974018593083459,0.0349946044953991
0.25,0.1,4.0,0.0,0.1974018593083465,0.0343027287047778
0.25,0.1,5.0,0.0,0.1974018593083459,0.0338773712125995
0.25,0.1,6.0,0.0,0.1974018593083457,0.0336135933612735
0.25,0.1,7.0,0.0,0.1974018593083455,0.033439981099038
0.25,0.1,8.0,0.0,0.1974018593083463,0.0333285699986264
0.25,0.1,9.0,0.0,0.1974018593083459,0.0332474952861841
0.25,0.1,10.0,0.0,0.1974018593083457,0.0331857808585218
0.25,0.1,11.0,0.0,0.1974018593083459,0.0331385231006753
0.25,0.1,12.0,0.0,0.1974018593083459,0.0331008401822083
0.25,0.1,13.0,0.0,0.1974018593083457,0.0330695931021853
0.25,0.1,14.0,0.0,0.1974018593083459,0.0330432183467868
0.3,0.12,3.0,0.0,0.1973968551869615,0.0334345128372472
0.3,0.12,4.0,0.0,0.1973968551869615,0.0327306832319714
0.3,0.12,5.0,0.0,0.1973968551869619,0.0322991206445202
0.3,0.12,6.0,0.0,0.1973968551869615,0.0320334056457155
0.3,0.12,7.0,0.0,0.1973968551869607,0.0318605268698249
0.3,0.12,8.0,0.0,0.1973968551869613,0.0317432282848566
0.3,0.12,9.0,0.0,0.1973968551869613,0.0316627975750619
0.3,0.12,10.0,0.0,0.1973968551869611,0.0316023794154317
0.3,0.12,11.0,0.0,0.1973968551869613,0.0315570921565277
0.3,0.12,12.0,0.0,0.1973968551869615,0.0315221598969778
0.3,0.12,13.0,0.0,0.1973968551869619,0.0314932969733326
0.3,0.12,14.0,0.0,0.1973968551869615,0.0314696510956307
0.35,0.14,3.0,0.0,0.1948356840732968,0.0328399149373674
0.35,0.14,4.0,0.0,0.1948356840732964,0.0321042836035765
0.35,0.14,5.0,0.0,0.1948356840732964,0.0316506828267424
0.35,0.14,6.0,0.0,0.1948356840732966,0.0313701669727551
0.35,0.14,7.0,0.0,0.1948356840732966,0.0311888342467732
0.35,0.14,8.0,0.0,0.1948356840732966,0.0310658897930574
0.35,0.14,9.0,0.0,0.1948356840732968,0.0309751616324738
0.35,0.14,10.0,0.0,0.1948356840732956,0.0309130140821598
0.35,0.14,11.0,0.0,0.1948356840732968,0.0308669691931456
0.35,0.14,12.0,0.0,0.1948356840732965,0.030829807748034
0.35,0.14,13.0,0.0,0.2000000000000002,0.0308004938890423
0.35,0.14,14.0,0.0,0.2,0.0307771668116972
0.4,0.16,3.0,0.0,0.1948344825913727,0.033028771995508
0.4,0.16,4.0,0.0,0.1948344825913726,0.0322321529846718
0.4,0.16,5.0,0.0,0.1948344825913719,0.0317464317927318
0.4,0.16,6.0,0.0,0.1948344825913723,0.0314464819236878
0.4,0.16,7.0,0.0,0.1948344825913723,0.0312535792308214
0.4,0.16,8.0,0.0,0.1948344825913726,0.0311232733866161
0.4,0.16,9.0,0.0,0.1948344825913723,0.0310298559125261
0.4,0.16,10.0,0.0,0.1948344825913719,0.030961514449383
0.4,0.16,11.0,0.0,0.1948344825913723,0.0309116833988182
0.4,0.16,12.0,0.0,0.2,0.0308715044083244
0.4,0.16,13.0,0.0,0.2,0.0308436658431895
0.4,0.16,14.0,0.0,0.2,0.0308210913807202
0.45,0.18,3.0,0.0,0.1948221086680473,0.0339580829977592
0.45,0.18,4.0,0.0,0.1948221086680475,0.0330780220609408
0.45,0.18,5.0,0.0,0.194822108668047,0.0325451650810164
0.45,0.18,6.0,0.0,0.1948221086680477,0.0322201278016325
0.45,0.18,7.0,0.0,0.1948221086680473,0.0320107084364602
0.45,0.18,8.0,0.0,0.1948221086680473,0.0318686073132323
0.45,0.18,9.0,0.0,0.1948221086680473,0.0317694743000588
0.45,0.18,10.0,0.0,0.1948221086680474,0.0316967564983576
0.45,0.18,11.0,0.0,0.2000000000000006,0.0316437291165716
0.45,0.18,12.0,0.0,0.2000000000000002,0.0316019168365777
0.45,0.18,13.0,0.0,0.2000000000000001,0.0315725393192525
0.45,0.18,14.0,0.0,0.2000000000000002,0.0315481492106544
0.5,0.2,3.0,0.0,0.1948174281563122,0.0356793901385946
0.5,0.2,4.0,0.0,0.1948174281563122,0.034689022643429
0.5,0.2,5.0,0.0,0.1948174281563122,0.034097291271832
0.5,0.2,6.0,0.0,0.194817428156312,0.0337383869898191
0.5,0.2,7.0,0.0,0.194817428156312,0.0335092821149915
0.5,0.2,8.0,0.0,0.2,0.0333551617754749
0.5,0.2,9.0,0.0,0.1999999999999996,0.0332493780510454
0.5,0.2,10.0,0.0,0.2,0.0331734331246384
0.5,0.2,11.0,0.0,0.1999999999999999,0.0331155899795903
0.5,0.2,12.0,0.0,0.1999999999999998,0.033072315283236
0.5,0.2,13.0,0.0,0.1999999999999996,0.0330375540822322
0.5,0.2,14.0,0.0,0.1999999999999999,0.0330110274607178
0.55,0.22,3.0,0.0,0.2000000000000002,0.0383439805874117
0.55,0.22,4.0,0.0,0.1948077219520947,0.0372105430127594
0.55,0.22,5.0,0.0,0.1999999999999998,0.0365479929814342
0.55,0.22,6.0,0.0,0.1999999999999998,0.0361528698589782
0.55,0.22,7.0,0.0,0.2000000000000002,0.0359028448423061
0.55,0.22,8.0,0.0,0.2000000000000003,0.0357352364060674
0.55,0.22,9.0,0.0,0.2000000000000003,0.0356205821412382
0.55,0.22,10.0,0.0,0.1999999999999999,0.0355345520723751
0.55,0.22,11.0,0.0,0.2000000000000002,0.0354716177905882
0.55,0.22,12.0,0.0,0.2000000000000002,0.0354240413096222
0.55,0.22,13.0,0.0,0.1999999999999999,0.0353858962971372
0.55,0.22,14.0,0.0,0.2000000000000002,0.0353560062669842
0.6,0.24,3.0,0.0,0.1999999999999999,0.0422476985628169
0.6,0.24,4.0,0.0,0.1999999999999997,0.0409466172050964
0.6,0.24,5.0,0.0,0.2000000000000003,0.0401987738335427
0.6,0.24,6.0,0.0,0.2,0.0397554134887781
0.6,0.24,7.0,0.0,0.2000000000000001,0.0394772949863106
0.6,0.24,8.0,0.0,0.2,0.0392915493357098
0.6,0.24,9.0,0.0,0.2,0.0391612031530234
0.6,0.24,10.0,0.0,0.1999999999999997,0.0390684964849982
0.6,0.24,11.0,0.0,0.2,0.0389986674853077
0.6,0.24,12.0,0.0,0.2,0.0389453388325614
0.6,0.24,13.0,0.0,0.2,0.0389029765811484
0.6,0.24,14.0,0.0,0.2000000000000001,0.0388711935030296
0.65,0.26,3.0,0.0,0.2,0.0478775597945464
0.65,0.26,4.0,0.0,0.2,0.0463768923114909
0.65,0.26,5.0,0.0,0.2,0.0455295180729671
0.65,0.26,6.0,0.0,0.2,0.0450322306658927
0.65,0.26,7.0,0.0,0.1999999999999999,0.0447218214645617
0.65,0.26,8.0,0.0,0.1999999999999999,0.0445161292401177
0.65,0.26,9.0,0.0,0.1999999999999999,0.0443725568345899
0.65,0.26,10.0,0.0,0.2,0.0442692237576493
0.65,0.26,11.0,0.0,0.2000000000000001,0.0441920266513845
0.65,0.26,12.0,0.0,0.2,0.0441331344189037
0.65,0.26,13.0,0.0,0.2,0.0440873094007747
0.65,0.26,14.0,0.0,0.2,0.0440499266610964
0.7,0.28,3.0,0.0,0.2025901914026087,0.0561312281969521
0.7,0.28,4.0,0.0,0.2025901914026087,0.0543938733451533
0.7,0.28,5.0,0.0,0.2025901914026087,0.0534372046799084
0.7,0.28,6.0,0.0,0.1974098085973912,0.0528791470123298
0.7,0.28,7.0,0.0,0.2025901914026087,0.0525339020727631
0.7,0.28,8.0,0.0,0.2025901914026087,0.0523049982978068
0.7,0.28,9.0,0.0,0.2025901914026087,0.0521467106323131
0.7,0.28,10.0,0.0,0.2025901914026087,0.0520336768472905
0.7,0.28,11.0,0.0,0.2025901914026087,0.0519481758567186
0.7,0.28,12.0,0.0,0.1974098085973913,0.0518830312832642
0.7,0.28,13.0,0.0,0.2025901914026088,0.0518334300092806
0.7,0.28,14.0,0.0,0.2025901914026087,0.0517919269755918
